,country_code,year,GDP-USD
180,FJI,1989,1182660265.76635
181,FRA,1989,1025211803413.53
182,GAB,1989,4186411463.85975
183,GBR,1989,926884816753.927
184,GEO,1989,
185,GHA,1989,5251858439.874
186,GIN,1989,2432029298.17643
187,GMB,1989,284120329.401023
188,GNB,1989,213143016.446378
189,GRC,1989,79169043222.8284
190,GRL,1989,929799902.191124
191,GTM,1989,8410724360.79545
192,GUM,1989,
193,HKG,1989,68790219177.9733
194,HND,1989,5432344901.72414
195,HTI,1989,2736243800.0
196,HUN,1989,
197,IDN,1989,94451427876.6628
198,IND,1989,296042052944.66
199,IRL,1989,39238392677.7542
200,IRN,1989,120496362916.271
201,ISL,1989,5672569449.07068
202,ISR,1989,
203,ITA,1989,928661332204.347
204,JAM,1989,4404937853.39452
205,JOR,1989,4221373673.80468
206,JPN,1989,3109455047823.93
207,KAZ,1989,
208,KEN,1989,8283114514.17081
209,KGZ,1989,
210,KHM,1989,
211,KIR,1989,44282882.2146502
212,KOR,1989,246928837311.406
213,KWT,1989,24313855653.3993
214,LAO,1989,714046821.093797
215,LBN,1989,2717998687.71002
216,LKA,1989,6987267683.77254
217,LSO,1989,495409232.627579
218,LUX,1989,10037674037.674
219,MAC,1989,2705665492.01675
220,MAR,1989,26314313191.1826
221,MDA,1989,
222,MDV,1989,189514434.244
223,MEX,1989,221403098266.77
224,MLT,1989,2118574772.11136
225,MMR,1989,2013448239.56823
226,MNG,1989,3576966800.0
227,MUS,1989,2181934976.44915
228,MWI,1989,2314205129.49285
229,MYS,1989,38847965292.9185
230,NAM,1989,2535135797.58392
231,NER,1989,2179567114.33391
232,NLD,1989,258336705808.999
233,NOR,1989,102633934390.615
234,NPL,1989,3525225832.99053
235,NRU,1989,
236,NZL,1989,43920222524.7085
237,OMN,1989,9372171651.49545
238,PAK,1989,40171106279.0078
239,PAN,1989,5918469800.0
240,PER,1989,22499558526.3682
241,PHL,1989,48513773720.673
242,POL,1989,
243,PRK,1989,
244,PRT,1989,60594092182.3275
245,PYF,1989,2731683484.45623
246,QAT,1989,6487912087.91209
247,ROU,1989,41450777202.0725
248,RUS,1989,506631299734.748
249,SAU,1989,95344352823.6969
250,SEN,1989,6366039372.53683
251,SGP,1989,30465364738.6206
252,SLE,1989,932974411.917142
253,SRB,1989,
254,SSD,1989,
255,SVK,1989,
256,SVN,1989,
257,SWE,1989,217948315624.564
258,SWZ,1989,696921542.378265
259,SYC,1989,324333366.456377
260,SYR,1989,18609532293.9866
261,TCA,1989,
262,THA,1989,72250748099.9762
263,TJK,1989,
264,TLS,1989,
265,TTO,1989,4323058823.52941
266,TUN,1989,10101851744.5627
267,TUR,1989,107127191328.935
268,TZA,1989,4420167578.29993
269,UKR,1989,80731578947.3684
270,URY,1989,8438951476.06644
271,USA,1989,5641580000000.0
272,UZB,1989,
273,VEN,1989,43536709104.0115
274,VNM,1989,6293304974.59403
275,ZAF,1989,108055624081.806
276,ABW,1990,764804469.273743
277,ALB,1990,2028553750.0
278,ARE,1990,50701443748.2975
279,ARG,1990,141352654305.163
280,ARM,1990,2256863448.77086
281,ATG,1990,459470370.37037
282,AUS,1990,311420509067.628
283,AUT,1990,166463386179.354
284,BEL,1990,205331747947.851
285,BFA,1990,3101300778.56414
286,BGR,1990,20632090909.0909
287,BHR,1990,4229787234.04255
288,BHS,1990,3166000000.0
289,BLR,1990,
290,BLZ,1990,545686365.523175
291,BMU,1990,1592400000.0
292,BOL,1990,4867582597.52327
293,BRA,1990,461951781818.18
294,BRB,1990,2012131457.26644
295,CAF,1990,1440711459.16967
296,CHE,1990,265763573999.424
297,CHL,1990,33137824752.7724
298,CHN,1990,394565747349.055
299,CIV,1990,10795850584.5874
300,COD,1990,9329305477.5
301,COL,1990,47844090709.9908
302,CPV,1990,306890962.649533
303,CRI,1990,5711687786.75989
304,CUB,1990,28645436569.1489
305,CYM,1990,
306,CYP,1990,5591130217.66965
307,CZE,1990,40728950704.6176
308,DEU,1990,1771671206875.68
309,DJI,1990,452328087.282876
310,DMA,1990,201429629.62963
311,DNK,1990,138247285815.855
312,DOM,1990,7073675544.79021
313,ECU,1990,15239272611.5809
314,EGY,1990,42978914311.3504
315,ESP,1990,536558591250.408
316,EST,1990,
317,FIN,1990,141438345513.917
318,FJI,1990,1337017559.49728
319,FRA,1990,1269179616913.63
320,GAB,1990,5952293764.84777
321,GBR,1990,1093169389204.55
322,GEO,1990,7500000000.0
323,GHA,1990,5889106573.46088
324,GIN,1990,2666750819.15337
325,GMB,1990,317083695.477797
326,GNB,1990,243961995.512687
327,GRC,1990,97891092003.4394
328,GRL,1990,1018977280.32928
329,GTM,1990,7650196845.21546
330,GUM,1990,
331,HKG,1990,76928784620.8158
332,HND,1990,4923009551.55642
333,HTI,1990,3096289800.0
334,HUN,1990,
335,IDN,1990,106140727333.636
336,IND,1990,320979026420.035
337,IRL,1990,49305632408.4929
338,IRN,1990,124813263926.225
339,ISL,1990,6468736355.55678
340,ISR,1990,
341,ITA,1990,1181222653522.95
342,JAM,1990,4592208086.69235
343,JOR,1990,4160087507.83472
344,JPN,1990,3185904656663.85
345,KAZ,1990,26932016269.6107
346,KEN,1990,8572359038.16958
347,KGZ,1990,2675000000.0
348,KHM,1990,
349,KIR,1990,42933296.4887589
350,KOR,1990,283365844161.092
351,KWT,1990,18427777777.7778
352,LAO,1990,865559879.400406
